ID,PAINTING,total_fixations,areas_of_interest,visits_to_final_area,isolated_fixations,area_duration_min,area_duration_max,area_duration_mean,area_duration_std,min_fixations_per_area,max_fixations_per_area,mean_fixations_per_area,std_fixations_per_area,last_series_duration,last_series_num_fixations,first_is_longest_duration,first_is_most_fixations,last_is_longest_duration,last_is_most_fixations,total_duration_fixations,fixation_duration_min,fixation_duration_max,fixation_duration_mean,fixation_duration_std,min_dilatation,max_dilatation,mean_dilatation,std_dilatation,instance_area_mean_dilatation_min,instance_area_mean_dilatation_max,instance_area_mean_dilatation_mean,instance_area_mean_dilatation_std,dilatation_range_min,dilatation_range_max,dilatation_range_mean,dilatation_range_std,is_max_dilatation_in_first_instance_area,is_max_dilatation_in_last_instance_area,returns_to_initial_area,times_returns_to_initial_area,n_area_changes_before_first_long_area,initial_instance_area_duration_ms,initial_instance_area_n_fixations,vote,RFLabel
139,4,15,3,4,6,7469,41503,25692.33333333333,17144.795400742853,3,8,5.0,2.6457513110645907,7469.0,4,True,True,False,False,77077,847,18634,5138.466666666666,5054.212922569315,29.497041702270508,39.52651977539063,36.61739117584281,0.9920352734302916,35.97023517016554,37.47915753451261,36.90800561769159,0.5165496604867225,2.781219482421882,9.05540657043457,4.296039793226456,2.0975163551698635,False,False,True,2,1,41503.0,8,32,0.0
350,15,38,4,9,11,6468,41195,18845.75,16049.08261916134,5,14,9.5,4.654746681256314,19789.0,14,False,False,False,False,75383,616,8470,1983.7631578947369,1798.824818089172,38.76481628417969,52.01872634887695,46.586030847704926,0.7356528685126659,41.61297289530436,49.74005734478986,46.477527003160674,1.9817325862219664,0.5138473510742116,10.036182403564451,3.617581417686061,2.548160160434607,False,True,True,3,4,7931.0,5,31,0.0
229,10,17,2,3,3,23485,72072,47778.5,34356.19717751078,5,12,8.5,4.949747468305833,72072.0,12,False,False,False,False,95557,1078,11935,5621.0,3078.676278045485,43.98164749145508,53.2929801940918,49.20295540594228,0.987886413809458,48.60044410328438,50.37948428077382,49.506613378677336,0.6945340942764124,3.33332443237304,9.31133270263672,5.626159032185872,2.162520818244558,False,False,True,2,1,23485.0,5,14,0.0
225,47,26,4,5,13,616,53207,28374.5,21546.65837200748,1,10,6.5,4.041451884327381,53207.0,9,False,False,True,True,113498,616,12243,4365.307692307692,3259.5488248434726,24.538124084472656,52.30035400390625,46.03191341232293,3.1206500029711224,43.65306735038757,49.14890393343839,46.51049727871614,1.5339608055206635,5.691612243652344,25.94795608520507,9.731158088235292,4.568625167830616,False,False,True,4,1,29029.0,6,24,0.0
310,2,53,2,5,3,43351,60753,52052.0,12305.0722062083,22,31,26.5,6.363961030678928,60753.0,31,False,False,False,False,104104,616,6237,1964.22641509434,1328.249797543158,36.67882537841797,51.202613830566406,46.47513081555699,0.9805776461243104,43.14802402478394,48.332906188254114,46.275395494872015,1.8494748886596195,0.534137725830071,13.818389892578123,5.935255686442056,4.164555691110709,False,False,True,4,1,60753.0,31,14,0.0
412,21,22,2,2,1,1694,103719,52706.5,72142.56935055752,1,21,11.0,14.142135623730953,103719.0,21,True,True,False,False,105413,847,14168,4791.5,3576.263622833194,21.24396514892578,42.16021347045898,36.829128876610746,2.2429182860300654,36.15182477777655,37.37235826400304,36.74196141366912,0.6112619417240011,2.950847625732422,20.9162483215332,14.769759496053055,10.238222157186172,False,True,True,1,1,103719.0,21,23,0.0
139,16,14,3,3,3,20251,34881,27925.33333333333,7341.429447548572,4,5,4.666666666666667,0.5773502691896258,34881.0,4,False,False,True,False,83776,770,14861,5984.0,5106.479503834019,29.631975173950195,42.24142074584961,39.17219996276906,0.8188655506280044,38.56782801114161,40.02102029468007,39.19308282094031,0.5682991719320274,2.7142868041992188,11.807535171508782,4.898731470108031,3.1058435171392267,False,False,True,2,3,28644.0,5,13,0.0
220,16,43,5,10,23,1540,46046,22268.4,17455.273323554688,2,16,8.6,5.079370039680118,46046.0,16,False,False,False,False,111342,616,8008,2589.3488372093025,1879.2104456991524,19.032135009765625,34.830848693847656,30.00498327214503,1.1114071876694434,28.791964769363403,31.29667414151705,29.950352940872605,0.5685011438803643,1.2807655334472656,11.426755905151367,3.921060681343079,1.840789524656692,False,False,True,7,1,20328.0,10,13,0.0
136,11,25,5,5,12,5005,30569,14460.6,10008.134056855954,2,8,5.0,2.8284271247461903,30569.0,8,False,False,True,False,72303,616,11627,2892.12,2450.133063053243,31.28250503540039,43.11537551879883,37.23273632929381,1.2963293338662327,34.22426288069818,39.22121634850135,37.35682777262962,1.3646316479316551,3.0367431640625,7.246917724609368,5.073989419376147,1.3955414389125549,False,False,True,3,2,14168.0,4,40,0.0
224,21,21,4,7,9,847,77539,27989.5,36178.994425863566,1,13,5.25,5.678908345800274,77539.0,13,False,False,False,False,111958,616,19250,5331.333333333333,5609.274528255266,35.090091705322266,60.0468635559082,55.36693352621844,0.8572306796388448,53.211232502714125,57.54452873996853,55.2703628283643,1.3055313963900606,0.392303466796875,20.498554229736328,4.263992854527064,5.0092425837557775,False,False,True,6,1,77539.0,13,27,0.0
